,Final Pb206/U238_mean,Final Pb206/U238_prop2SE,Final Pb206/U238 age_mean,Final Pb206/U238 age_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_prop2SE,Final Pb207/U235 age_mean,Final Pb207/U235 age_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_prop2SE,Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_prop2SE,Final U238/Pb206_mean,Final U238/Pb206_prop2SE,rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U,
GQ6_2_matrix
NIST 610 - 6,0.195158,0.00973358,1149.08,52.425,24.7036,1.41696,3295.8,55.7508,0.91044,0.00711464,4963.9,42.2915,5.18712,0.259275,0.460658,0.540118,
NIST 610 - 5,0.177387,0.00944241,1052.52,51.6011,22.1996,1.35063,3191.4,59.0258,0.902421,0.00673165,4969.01,22.487,5.59182,0.290488,0.245058,0.6643,
NIST 610 - 4,0.176616,0.00941657,1048.25,51.4277,22.2209,1.34873,3192.21,59.2626,0.904335,0.00747887,4968.37,26.0492,5.67715,0.292671,0.359979,0.633136,
NIST 610 - 3,0.165265,0.00964192,985.788,53.1778,20.7747,1.38595,3126.94,64.0749,0.905106,0.006978,4987.04,8.88777,6.12146,0.361928,0.303474,0.698577,
NIST 610 - 1,0.186011,0.00996613,1099.54,54.044,23.4533,1.42248,3245.03,59.0909,0.903532,0.0068539,4962.49,28.9929,5.36508,0.298054,0.420432,0.643974,
NIST 610 - 2,0.179296,0.0096858,1062.92,52.8041,22.4325,1.39959,3201.35,59.9329,0.90541,0.00660207,4982.36,14.8675,5.55879,0.309352,0.374167,0.7399,
NIST 610 - 21,0.160472,0.00914256,959.184,50.6961,20.1071,1.32556,3094.88,63.5649,0.909384,0.00765363,4972.89,13.8092,6.22368,0.359376,0.276183,0.717569,
NIST 610 - 22,0.154688,0.00864422,926.874,48.1615,19.1967,1.25073,3050.15,62.4228,0.902408,0.00872861,4971.39,12.0777,6.50611,0.358444,0.55958,0.698073,
HFO
HFO - 18,0.122108,0.0072378,742.489,41.5005,15.4378,1.02955,2840.92,62.9888,0.923497,0.00799931,4953.28,73.7193,8.20239,0.473248,0.533567,0.700491,
HFO - 17,0.122358,0.00652579,743.989,37.454,15.4591,0.934391,2842.93,57.3302,0.917034,0.0078659,4973.86,7.64578,8.16653,0.41783,0.477328,0.623931,
HFO - 16,0.122028,0.006535,742.031,37.5007,15.4277,0.943866,2841.3,59.3261,0.914436,0.00835545,4969.48,32.2094,8.19971,0.44781,0.32105,0.749134,
HFO - 12,0.122147,0.00646647,742.826,37.147,15.4432,0.942036,2841.58,58.3005,0.917557,0.00814235,4965.37,32.3552,8.17718,0.436091,0.416011,0.501411,
HFO - 11,0.122051,0.00651213,742.283,37.4258,15.4261,0.950058,2840.82,58.8646,0.914394,0.00841265,4970.88,26.9622,8.19499,0.429078,0.502003,0.431914,
HFO - 10,0.122157,0.0064105,742.877,36.8235,15.4438,0.937349,2841.67,57.8747,0.913009,0.00835177,4969.45,14.9296,8.18476,0.442034,0.367448,0.533192,
HFO - 15,0.122101,0.00666965,742.481,38.2665,15.4266,0.960471,2840.88,60.4136,0.921568,0.00852449,4980.67,10.2924,8.19271,0.451513,0.137857,0.757249,
HFO - 14,0.122381,0.00694096,744.122,39.8392,15.4907,1.01037,2843.86,61.7391,0.92505,0.00804924,4977.15,11.3924,8.17981,0.461548,0.24615,0.738137,
HFO - 13,0.12211,0.00668311,742.563,38.4098,15.4331,0.968802,2840.82,59.6456,0.911267,0.00747112,4965.87,22.9097,8.19215,0.437564,0.424034,0.688141,
HFO - 21,0.1221,0.00662682,742.514,38.0474,15.434,0.963992,2840.91,59.9934,0.913717,0.00809015,4978.59,17.3747,8.19263,0.441609,0.290781,0.638722,
HFO - 20,0.122282,0.00654474,743.553,37.5799,15.4594,0.946001,2842.76,58.659,0.919527,0.00781578,4989.4,11.069,8.17423,0.437832,0.423185,0.65042,
HFO - 19,0.12208,0.00646234,742.416,37.1139,15.4315,0.933559,2841.08,57.8439,0.918657,0.00795034,4955.35,25.8011,8.19281,0.420032,0.341049,0.595804,
HFO - 24,0.122192,0.00637824,743.028,36.6577,15.4462,0.919005,2841.63,56.6982,0.921205,0.00779572,4975.04,26.3557,8.17869,0.43494,0.404212,0.715054,
HFO - 23,0.121901,0.00658239,741.319,37.7882,15.4133,0.947686,2840.58,56.7697,0.921606,0.0081346,4957.41,23.4212,8.21171,0.4407,0.408613,0.749585,
HFO - 22,0.122219,0.00676222,743.153,38.797,15.4464,0.975116,2841.81,59.9879,0.914879,0.00812036,4978.34,10.571,8.18104,0.445549,0.4709,0.676245,
HFO - 27,0.122178,0.00646542,742.958,37.1148,15.4474,0.941537,2841.67,58.0483,0.916415,0.00992851,4959.18,20.4423,8.18273,0.429998,0.525571,0.399118,
HFO - 26,0.121864,0.00663639,741.014,38.1145,15.4001,0.957707,2837.46,59.6729,0.913483,0.0085127,4959.45,17.2892,8.21208,0.437011,0.402088,0.797086,
HFO - 25,0.122256,0.00679033,743.282,38.9642,15.456,0.985351,2841.29,60.7907,0.917563,0.00891632,4962.08,19.6676,8.17901,0.451631,0.429928,0.755575,
